drug,alternative_1,alternative_2,alternative_3
Bivalirudin,Semaglutide,Avexitide,PP-F11N lutetium Lu-177
Leuprolide,Buserelin,Deslorelin,Nerofe
Goserelin,Nafarelin,Triptorelin,Ganirelix
Gramicidin D,Nerofe,Echinomycin,Reltecimod
Desmopressin,Lypressin,Selepressin,Ozarelix
Cetrorelix,Teverelix,Degarelix,Abarelix
Vasopressin,Gonadorelin,Lanreotide,Elcatonin
Daptomycin,Cotadutide,MALP-2,Dotatate
Cyclosporine,9-(N-methyl-L-isoleucine)-cyclosporin A,Valspodar,SCY-635
Abarelix,Teverelix,Cetrorelix,Degarelix
Pyridoxal phosphate,N-Pyridoxyl-Glycine-5-Monophosphate,Pyridoxamine-5'-Phosphate,Pyridoxine phosphate
Cyanocobalamin,Cyanocobalamin Co-60,Cobalamin,Rifabutin
Tetrahydrofolic acid,(6R)-Folinic acid,Levoleucovorin,Lometrexol
Histidine,(S)-DES-ME-AMPA,Tryptophan,7-Aza-L-tryptophan
Ademetionine,"N(4)-Adenosyl-N(4)-methyl-2,4-diaminobutanoic acid","2-aminooxyethyl-[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-tetrahydrofuran-2-yl]methyl]-methyl-sulfonium",Puromycin
Pyruvic acid,4-methylthio-2-oxobutanoic acid,2-Oxobutanoic Acid,Oxamic Acid
Phenylalanine,(2S)-2-Methyl-3-phenylpropanoic acid,D-Phenylalanine,S-Benzylcysteine
Biotin,"6-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Hexanoic Acid","5-[(3AS,4R,6AR)-2-OXOHEXAHYDRO-1H-THIENO[3,4-D]IMIDAZOL-4-YL]PENTANOIC ACID","4-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Butyricacid"
Choline,2-(Trimethylammonium)Ethyl Thiol,Dioctyldimonium,Tetramethylammonium
Lysine,Methionine,Ornithine,"L-2,4-diaminobutyric acid"
Arginine,L-homoarginine,Canavanine,D-arginine
Ascorbic acid,"2,6-Anhydro-3-Deoxy-D-Erythro-Hex-2-Enonic Acid",Sodium ascorbate,Dehydroascorbic acid
Spermine,"N-ethyl-N-[3-(propylamino)propyl]propane-1,3-diamine",Stearyl alcohol,2-{2-[2-2-(Methoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethanol
Aspartic acid,D-Aspartic Acid,Glutamic acid,L-2-aminopimelic acid
Ornithine,Methionine,"L-2,4-diaminobutyric acid",Canaline
L-Glutamine,Theanine,N5-Methylglutamine,5-Oxo-L-Norleucine
Adenosine phosphate,5-(6-Amino-9h-Purin-9-Yl)-4-Hydroxytetrahydrofuran-3-Yl Dihydrogen Phosphate,Adenosine Phosphonoacetic Acid,Adenosine monotungstate
alpha-Linolenic acid,Dihomo-gamma-linolenic acid,Gamolenic acid,Linoleic acid
Serine,Beta-3-Serine,L-Homoserine,Cysteine
Methionine,Canaline,S-Methylcysteine,Ornithine
Tyrosine,D-Tyrosine,GED-0507-34-Levo,4-Iodo-L-phenylalanine
Calcitriol,"24-Homo-1,25-dihydroxyvitamin D3",Maxacalcitol,Lexacalcitol
Lutein,alpha-Carotene,Zeaxanthin,Astaxanthin
Cystine,Nz-(1-Carboxyethyl)-Lysine,"2,6-Diaminopimelic Acid",Tilarginine
Succinic acid,Glutaric Acid,Malonic acid,Vigabatrin
Riboflavin,Flavin mononucleotide,Isatoribine,3-(7-hydroxy-8-ribityllumazine-6-yl) propionic acid
N-Acetylglucosamine,N-acetylmannosamine,Galactose,D-glucose
Glutamic acid,D-Glutamic Acid,L-2-aminopimelic acid,Glutamine hydroxamate
Glutathione,S-Hydroxymethyl Glutathione,S-benzylglutathione,S-Nitrosoglutathione
Phosphatidyl serine,CTT-1057,Di-Stearoyl-3-Sn-Phosphatidylcholine,"1,2-dihexadecanoyl-sn-glycero-3-phosphoethanolamine"
Glycine,Sarcosine,gamma-Aminobutyric acid,Aminooxyacetic acid
Calcifediol,Cholecalciferol,"24,25-Dihydroxycholecalciferol",Secalciferol
Pyridoxal,Pyridoxamine,Pyridoxine,Deferiprone
Creatine,Phosphocreatine,2-Aminopropanedioic Acid,Creatinolfosfate
Leucine,D-Leucine,2-(Thiomethylene)-4-Methylpentanoic Acid,L-Leucyl-Hydroxylamine
Tryptophan,D-Tryptophan,7-Aza-L-tryptophan,2-Hydroxy-Tryptophan
Cysteine,Homocysteine,6-hydroxynorleucine,L-Homoserine
Thiamine,Propyphenazone,Aminophenazone,Thiamine(1+) monophosphate
Ergocalciferol,Secalciferol,Cholecalciferol,Calcifediol
